2025-08-11 07:47:34 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:47:36 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:47:38 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:10 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:12 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:15 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:17 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:19 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:22 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:24 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:26 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:28 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:30 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:33 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:35 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:37 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:39 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:42 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:44 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:46 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:48 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:51 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:53 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:55 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:57 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:48:59 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:01 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:04 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:06 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:08 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:10 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:12 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:15 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:21 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:24 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:26 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:28 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:30 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:32 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:34 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:36 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:39 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:49:41 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
