2025-07-30 19:07:40,590 | historical_data | INFO | historical_data.py:535 | get_historical_gap_up_data() | DEBUG: Found 185 total missing dates for requested range
2025-07-30 19:07:40,591 | historical_data | INFO | historical_data.py:769 | get_batch_delta_data() | 🔄 Fetching batch delta data for SONN: 185 missing dates
2025-07-30 19:07:41,094 | performance | INFO | logging_config.py:153 | log_performance() | ⏱️ batch_daily_data | Duration: 0.488s | Details: {'ticker': 'SONN', 'start_date': '2024-07-30', 'end_date': '2025-01-30', 'data_points': 127}
2025-07-30 19:07:41,095 | historical_data | INFO | historical_data.py:365 | get_batch_daily_data() | 📊 Retrieved 127 days of batch data for SONN
2025-07-30 19:07:44,294 | historical_data | INFO | historical_data.py:882 | get_batch_delta_data() | ✅ Batch delta processing completed for SONN: 1 gap-up days found
2025-07-30 19:07:44,303 | historical_cache | INFO | historical_cache.py:178 | store_historical_data() | 💾 Stored 1 records for SONN in cache (query range: 2024-07-30 to 2025-07-30)
2025-07-30 19:07:44,304 | historical_data | INFO | historical_data.py:544 | get_historical_gap_up_data() | 💾 Cached 1 new gap-up days from delta for SONN
2025-07-30 19:07:44,305 | historical_data | INFO | historical_data.py:553 | get_historical_gap_up_data() | ✅ Returning 4 gap-up days (cached: 3, delta: 1)
2025-07-30 19:08:05,182 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
2025-07-30 19:08:05,183 | startup | INFO | logging_config.py:116 | setup_logging() | 📁 Log directory: /Users/avinashchennamadhav/Documents/Projects/trade-advisor-website/gap-trade-bot/backend/logs
2025-07-30 19:08:05,183 | startup | INFO | logging_config.py:117 | setup_logging() | 🔧 Log level: INFO
2025-07-30 19:08:05,185 | startup | INFO | logging_config.py:118 | setup_logging() | 📊 Log files: all.log, errors.log, api.log, performance.log, cache.log
2025-07-30 19:08:05,188 | historical_cache | INFO | historical_cache.py:240 | clear_cache() | 🗑️ Cleared cache for TEST
2025-07-30 19:08:05,189 | historical_data | INFO | historical_data.py:474 | get_historical_gap_up_data() | 📊 Fetching historical gap-up data for TEST from 2024-07-30 to 2025-07-30 (365 days)
2025-07-30 19:08:05,190 | historical_data | INFO | historical_data.py:481 | get_historical_gap_up_data() | Cache status for TEST: {'ticker': 'TEST', 'cached': False, 'total_records': 0, 'last_updated': None, 'data_range': None}
2025-07-30 19:08:05,191 | historical_cache | INFO | historical_cache.py:99 | get_cached_data() | 📊 Retrieved 0 cached records for TEST
2025-07-30 19:08:05,192 | historical_data | INFO | historical_data.py:485 | get_historical_gap_up_data() | DEBUG: Retrieved 0 cached records for TEST
2025-07-30 19:08:05,192 | historical_data | INFO | historical_data.py:671 | get_historical_gap_up_data() | DEBUG: No cached data found for TEST, will fetch from Polygon
2025-07-30 19:08:05,193 | historical_data | INFO | historical_data.py:674 | get_historical_gap_up_data() | 🔄 Fetching fresh batch data from Polygon for TEST
2025-07-30 19:08:05,542 | historical_data | ERROR | historical_data.py:680 | get_historical_gap_up_data() | ❌ No historical data found for TEST
2025-07-30 19:08:13,814 | startup | INFO | logging_config.py:115 | setup_logging() | 🚀 Gap-Trade-Bot Logging System Initialized
